Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,1,2,30,0.22390581120113595,0.8714,29.78824969400245,6.746999156801394,0.013128782119288756,0.0014528031168870182,0.1418967824538157,0.05267462110157367,nan,nan,nan,nan,nan,nan,15.028299139111148,
distributed,1,2,50,0.22290439149206165,0.8743,49.47559709241952,12.881458488428848,0.013237633815144166,0.0011562467489551313,0.12280473192790607,0.06243768010406074,nan,nan,nan,nan,nan,nan,15.217072866013886,
distributed,1,2,70,0.22359635641309947,0.8721,69.65916069600819,17.169223110619253,0.012864213357705065,0.002541895754772648,0.1316417586188275,0.042425843940024174,nan,nan,nan,nan,nan,nan,15.16644363446298,
distributed,1,2,100,0.22301376140904974,0.8746,97.79767666989352,31.75546759571054,0.01280511485411226,0.0008709039410943988,0.1267172915548491,0.06037384967885377,nan,nan,nan,nan,nan,nan,14.922181247482216,
distributed,1,3,-1,0.2381624538788452,0.8548,4.419354838709677,1.1783480619599007,0.013302944482566777,0.0029808849310715606,0.14328963116031904,0.04975653183628085,25.855483183189648,3.5296616891191706,2.781671328853999,0.41206497347887117,1.7257666421312137,0.3977737913019624,14.9572926234622,
distributed,1,3,1,0.24585715636084807,0.8453,1.0,0.0,0.013220875511536724,0.006427520208413444,0.13032753307314116,0.04924986545350672,nan,nan,nan,nan,nan,nan,15.072582901391172,
distributed,1,3,2,0.23744982477298038,0.8534,1.989247311827957,0.14430489325798443,0.01272426254780569,0.00484101949430037,0.13472247572839532,0.04884055534333318,nan,nan,nan,nan,nan,nan,15.04900757335595,
distributed,1,3,3,0.2348525537851882,0.8568,2.985294117647059,0.2916610405434508,0.01329297319433681,0.004068074156056449,0.12158921993337485,0.05063225855501198,nan,nan,nan,nan,nan,nan,14.831181368333427,
distributed,1,3,5,0.23680939787130348,0.8553,4.979848866498741,0.6207311155543968,0.01334759524951498,0.003470023775047731,0.12072710981959937,0.05073974154028593,nan,nan,nan,nan,nan,nan,15.047567868756202,
distributed,1,3,7,0.24143981292764854,0.8501,6.9737417943107225,1.0210526194917653,0.013251432741818621,0.0026023348441171702,0.1363587726833336,0.049914678787530926,nan,nan,nan,nan,nan,nan,15.142238183578964,
distributed,1,3,10,0.24776540951073836,0.8435,9.945255474452555,1.2494896917525644,0.01342488267945678,0.0026702424584315494,0.13295794276069636,0.057855331170479724,nan,nan,nan,nan,nan,nan,14.85315322632133,
distributed,1,3,20,0.264315174406576,0.8255,19.9501312335958,4.14095399636364,0.012975944684656284,0.001601479411358654,0.1292156278589855,0.04991522429111431,nan,nan,nan,nan,nan,nan,15.003855156502297,
distributed,1,3,30,0.2761798009970385,0.8143,29.93348623853211,7.124432905485592,0.013184973464191656,0.001919007569164507,0.11459427493586956,0.047707181668243406,nan,nan,nan,nan,nan,nan,15.306645527247811,
distributed,1,3,50,0.29187724303791185,0.8012,49.89705882352941,14.38363267359428,0.012935487179155084,0.001897760001695274,0.1323832741741822,0.05894257115850063,nan,nan,nan,nan,nan,nan,15.078958045321354,
distributed,1,3,70,0.30167516007839146,0.7924,68.66561514195584,18.271288952889996,0.012705829101778563,0.0028783783792703916,0.14207701648459448,0.036206966606524865,nan,nan,nan,nan,nan,nan,14.94136683823481,
distributed,1,3,100,0.31109752414864494,0.7818,97.52621544327931,29.72781619217186,0.013662785627530018,0.0022195782128650045,0.12350447647610259,0.03399322832277219,nan,nan,nan,nan,nan,nan,15.085100111386618,
Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,0,-1,0.18974949087637158,0.9484000039100647,14.760242792109256,4.874274756530761,0.013316289596628289,0.002519194518473464,0.12309062075123431,0.05515669647452039,49.227772319015514,15.31918659647816,2.157144323433704,0.2949654447433826,0.6470310234431325,0.29842028259727815,15.075100475492674,
distributed,0,0,1,0.5555850592255599,0.85129999935627,1.0,0.0,0.01300117914833475,0.006700301381962377,0.12813921688422963,0.05742644542836879,nan,nan,nan,nan,nan,nan,14.960881979451829,
distributed,0,0,2,0.35703240348647036,0.9057999986410143,1.99009900990099,0.1386483884679505,0.012789440308196204,0.0045432679704083155,0.12258668566002069,0.053966913830905364,nan,nan,nan,nan,nan,nan,15.087455416111267,
distributed,0,0,3,0.31325155743708266,0.9161000025272371,2.9844357976653697,0.2997334439173632,0.013235620606399386,0.0041388509816059895,0.13227148549558204,0.05471795363436245,nan,nan,nan,nan,nan,nan,14.909363319747778,
distributed,0,0,5,0.2503779285401107,0.9317000007629397,4.979591836734694,0.6244997998398398,0.013378667104693426,0.003539893960115197,0.12361569063977118,0.04939676929831158,nan,nan,nan,nan,nan,nan,15.086236515309315,
distributed,0,0,7,0.2255223260944089,0.9386000037193301,6.974137931034483,1.013746349389064,0.012819941496208569,0.002827044883067088,0.1312071326654968,0.05139641511044663,nan,nan,nan,nan,nan,nan,14.938208544390966,
distributed,0,0,10,0.21063147398332754,0.9429000067710878,9.940754039497307,1.2844214187875878,0.013724751874535592,0.002888751330427721,0.1316671373180239,0.046881729174043374,nan,nan,nan,nan,nan,nan,14.990576221934589,
distributed,0,0,20,0.17479081754262252,0.9526000046730039,19.863576158940397,3.12547169352641,0.0128147662998755,0.0024811821917509946,0.1321500461388553,0.046598775415455714,nan,nan,nan,nan,nan,nan,15.078833169479177,
distributed,0,0,30,0.1702009384954968,0.952600004673004,29.931116389548695,7.233870947762953,0.012993258170723295,0.0019211976227267542,0.12940140415784582,0.06550608212979597,nan,nan,nan,nan,nan,nan,15.127972418878612,
distributed,0,0,50,0.1559069969598204,0.9576000028848649,49.30290010741138,11.320225262776354,0.012667082287244785,0.0008110609396618465,0.1398548254378596,0.06567220653777273,nan,nan,nan,nan,nan,nan,14.614884564769186,
distributed,0,0,70,0.14742171566157283,0.9579000049829482,69.68194842406876,16.66571611872709,0.012079283061757502,0.00208275887971996,0.11506507214839255,0.047186708105205234,nan,nan,nan,nan,nan,nan,15.013307366594661,
distributed,0,0,100,0.15001096129883087,0.9590000045299529,97.79767666989352,31.75546759571054,0.012750104697285042,0.00189640295787686,0.13787102901719195,0.06378514234798323,nan,nan,nan,nan,nan,nan,15.259329760921608,
distributed,0,1,-1,0.45608496494591194,0.8825000017881394,5.869565217391305,1.4129505581954314,0.013520913131090205,0.003146372337815311,0.13935565195124167,0.05685440273399147,82.42666684993365,6.668488310936946,13.593614584020441,2.046343467847931,3.9789925104410178,1.24567053379872,15.08916314750537,
distributed,0,1,1,0.5390815781801936,0.8660999989509579,1.0,0.0,0.013307041992970494,0.007193263874037492,0.12746557711176107,0.05118940377806679,nan,nan,nan,nan,nan,nan,15.06267024420628,
distributed,0,1,2,0.5473915975789231,0.8488000005483622,1.9894736842105263,0.1428261375083551,0.012285406511019647,0.004806165950319839,0.13297540875778957,0.05733094842282281,nan,nan,nan,nan,nan,nan,15.09887446460955,
